2020-09-01 07:05:13 status half-installed sed:amd64 4.7-1
2020-09-01 07:05:13 status unpacked sed:amd64 4.7-1
2020-09-01 07:05:13 install login:amd64 <none> 1:4.5-1.1
2020-09-01 07:05:13 status half-installed login:amd64 1:4.5-1.1
2020-09-01 07:05:14 status unpacked login:amd64 1:4.5-1.1
2020-09-01 07:05:14 install passwd:amd64 <none> 1:4.5-1.1
2020-09-01 07:05:14 status half-installed passwd:amd64 1:4.5-1.1
2020-09-01 07:05:15 status unpacked passwd:amd64 1:4.5-1.1
2020-09-01 07:05:15 install libsystemd0:amd64 <none> 241-7~deb10u4
2020-09-01 07:05:15 status half-installed libsystemd0:amd64 241-7~deb10u4
2020-09-01 07:05:15 status unpacked libsystemd0:amd64 241-7~deb10u4
2020-09-01 07:05:16 install libudev1:amd64 <none> 241-7~deb10u4
2020-09-01 07:05:16 status half-installed libudev1:amd64 241-7~deb10u4
2020-09-01 07:05:16 status unpacked libudev1:amd64 241-7~deb10u4
2020-09-01 07:05:16 install sysvinit-utils:amd64 <none> 2.93-8
2020-09-01 07:05:16 status half-installed sysvinit-utils:amd64 2.93-8
2020-09-01 07:05:17 status unpacked sysvinit-utils:amd64 2.93-8
2020-09-01 07:05:17 install tar:amd64 <none> 1.30+dfsg-6
2020-09-01 07:05:17 status half-installed tar:amd64 1.30+dfsg-6
2020-09-01 07:05:17 status unpacked tar:amd64 1.30+dfsg-6
2020-09-01 07:05:18 install tzdata:all <none> 2020a-0+deb10u1
2020-09-01 07:05:18 status half-installed tzdata:all 2020a-0+deb10u1
2020-09-01 07:05:18 status unpacked tzdata:all 2020a-0+deb10u1
2020-09-01 07:05:19 install bsdutils:amd64 <none> 1:2.33.1-0.1
2020-09-01 07:05:19 status half-installed bsdutils:amd64 1:2.33.1-0.1
2020-09-01 07:05:19 status unpacked bsdutils:amd64 1:2.33.1-0.1
2020-09-01 07:05:19 install fdisk:amd64 <none> 2.33.1-0.1
2020-09-01 07:05:19 status half-installed fdisk:amd64 2.33.1-0.1
2020-09-01 07:05:20 status unpacked fdisk:amd64 2.33.1-0.1
2020-09-01 07:05:20 install libblkid1:amd64 <none> 2.33.1-0.1
2020-09-01 07:05:20 status half-installed libblkid1:amd64 2.33.1-0.1
2020-09-01 07:05:20 status unpacked libblkid1:amd64 2.33.1-0.1
2020-09-01 07:05:21 install libfdisk1:amd64 <none> 2.33.1-0.1
2020-09-01 07:05:21 status half-installed libfdisk1:amd64 2.33.1-0.1
2020-09-01 07:05:21 status unpacked libfdisk1:amd64 2.33.1-0.1
2020-09-01 07:05:21 install libmount1:amd64 <none> 2.33.1-0.1
2020-09-01 07:05:21 status half-installed libmount1:amd64 2.33.1-0.1
2020-09-01 07:05:22 status unpacked libmount1:amd64 2.33.1-0.1
2020-09-01 07:05:22 install libsmartcols1:amd64 <none> 2.33.1-0.1
2020-09-01 07:05:22 status half-installed libsmartcols1:amd64 2.33.1-0.1
2020-09-01 07:05:22 status unpacked libsmartcols1:amd64 2.33.1-0.1
2020-09-01 07:05:23 install libuuid1:amd64 <none> 2.33.1-0.1
2020-09-01 07:05:23 status half-installed libuuid1:amd64 2.33.1-0.1
2020-09-01 07:05:23 status unpacked libuuid1:amd64 2.33.1-0.1
2020-09-01 07:05:24 install mount:amd64 <none> 2.33.1-0.1
2020-09-01 07:05:24 status half-installed mount:amd64 2.33.1-0.1
2020-09-01 07:05:24 status unpacked mount:amd64 2.33.1-0.1
2020-09-01 07:05:24 install util-linux:amd64 <none> 2.33.1-0.1
2020-09-01 07:05:24 status half-installed util-linux:amd64 2.33.1-0.1
2020-09-01 07:05:25 status unpacked util-linux:amd64 2.33.1-0.1
2020-09-01 07:05:25 install liblzma5:amd64 <none> 5.2.4-1
2020-09-01 07:05:25 status half-installed liblzma5:amd64 5.2.4-1
2020-09-01 07:05:25 status unpacked liblzma5:amd64 5.2.4-1
2020-09-01 07:05:26 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2020-09-01 07:05:26 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2020-09-01 07:05:26 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2020-09-01 07:05:26 startup packages configure
2020-09-01 07:05:26 configure debian-archive-keyring:all 2019.1 <none>
2020-09-01 07:05:26 status unpacked debian-archive-keyring:all 2019.1
2020-09-01 07:05:27 status half-configured debian-archive-keyring:all 2019.1
2020-09-01 07:05:27 status installed debian-archive-keyring:all 2019.1
2020-09-01 07:05:27 configure libaudit-common:all 1:2.8.4-3 <none>
2020-09-01 07:05:27 status unpacked libaudit-common:all 1:2.8.4-3
2020-09-01 07:05:27 status half-configured libaudit-common:all 1:2.8.4-3
2020-09-01 07:05:27 status installed libaudit-common:all 1:2.8.4-3
2020-09-01 07:05:27 configure libsemanage-common:all 2.8-2 <none>
2020-09-01 07:05:27 status unpacked libsemanage-common:all 2.8-2
2020-09-01 07:05:27 status half-configured libsemanage-common:all 2.8-2
2020-09-01 07:05:28 status installed libsemanage-common:all 2.8-2
2020-09-01 07:05:28 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2020-09-01 07:05:28 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2020-09-01 07:05:28 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2020-09-01 07:05:28 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2020-09-01 07:05:28 configure gcc-8-base:amd64 8.3.0-6 <none>
2020-09-01 07:05:28 status unpacked gcc-8-base:amd64 8.3.0-6
2020-09-01 07:05:28 status half-configured gcc-8-base:amd64 8.3.0-6
2020-09-01 07:05:28 status installed gcc-8-base:amd64 8.3.0-6
2020-09-01 07:05:28 configure libc6:amd64 2.28-10 <none>
2020-09-01 07:05:28 status unpacked libc6:amd64 2.28-10
2020-09-01 07:05:28 status half-configured libc6:amd64 2.28-10
2020-09-01 07:05:28 status installed libc6:amd64 2.28-10
2020-09-01 07:05:29 configure libudev1:amd64 241-7~deb10u4 <none>
2020-09-01 07:05:29 status unpacked libudev1:amd64 241-7~deb10u4
2020-09-01 07:05:29 status half-configured libudev1:amd64 241-7~deb10u4
2020-09-01 07:05:29 status installed libudev1:amd64 241-7~deb10u4
2020-09-01 07:05:29 configure libsepol1:amd64 2.8-1 <none>
2020-09-01 07:05:29 status unpacked libsepol1:amd64 2.8-1
2020-09-01 07:05:29 status half-configured libsepol1:amd64 2.8-1
2020-09-01 07:05:29 status installed libsepol1:amd64 2.8-1
2020-09-01 07:05:29 configure libattr1:amd64 1:2.4.48-4 <none>
2020-09-01 07:05:29 status unpacked libattr1:amd64 1:2.4.48-4
2020-09-01 07:05:29 status half-configured libattr1:amd64 1:2.4.48-4
2020-09-01 07:05:29 status installed libattr1:amd64 1:2.4.48-4
2020-09-01 07:05:29 configure libtasn1-6:amd64 4.13-3 <none>
2020-09-01 07:05:29 status unpacked libtasn1-6:amd64 4.13-3
2020-09-01 07:05:29 status half-configured libtasn1-6:amd64 4.13-3
2020-09-01 07:05:29 status installed libtasn1-6:amd64 4.13-3
2020-09-01 07:05:30 configure debianutils:amd64 4.8.6.1 <none>
2020-09-01 07:05:30 status unpacked debianutils:amd64 4.8.6.1
2020-09-01 07:05:30 status half-configured debianutils:amd64 4.8.6.1
2020-09-01 07:05:30 status installed debianutils:amd64 4.8.6.1
2020-09-01 07:05:30 configure mawk:amd64 1.3.3-17+b3 <none>
2020-09-01 07:05:30 status unpacked mawk:amd64 1.3.3-17+b3
2020-09-01 07:05:30 status half-configured mawk:amd64 1.3.3-17+b3
2020-09-01 07:05:30 status installed mawk:amd64 1.3.3-17+b3
2020-09-01 07:05:30 configure libdebconfclient0:amd64 0.249 <none>
2020-09-01 07:05:30 status unpacked libdebconfclient0:amd64 0.249
2020-09-01 07:05:30 status half-configured libdebconfclient0:amd64 0.249
2020-09-01 07:05:30 status installed libdebconfclient0:amd64 0.249
2020-09-01 07:05:30 configure base-files:amd64 10.3+deb10u5 <none>
2020-09-01 07:05:30 status unpacked base-files:amd64 10.3+deb10u5
2020-09-01 07:05:31 status half-configured base-files:amd64 10.3+deb10u5
2020-09-01 07:05:31 status installed base-files:amd64 10.3+deb10u5
2020-09-01 07:05:31 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2020-09-01 07:05:31 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-09-01 07:05:31 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-09-01 07:05:31 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-09-01 07:05:31 configure base-passwd:amd64 3.5.46 <none>
2020-09-01 07:05:31 status unpacked base-passwd:amd64 3.5.46
